day,type,message
1,health,"Your blood pressure begins to normalize"
1,habit,"You've taken the first crucial step. Every minute clean counts."
3,health,"Your body is clearing out toxins rapidly"
3,habit,"You're pushing through the toughest early cravings"
7,health,"Your energy levels are starting to improve"
7,habit,"Your brain is beginning to form new, healthier patterns"
14,health,"Your immune system is getting stronger"
14,habit,"You're developing new coping mechanisms"
30,health,"Your body is showing remarkable healing"
30,habit,"You're creating a new, healthier identity"
